,index,caiop,state,raiop,backers_count,goal,goal_mean,succ_mean,media_goal_regione,score,n_char,n_dot,n_word,n_word_per_sentence,polarity,subjectivity,Value
1922,1922,1.06405539100702,failed,3.73027523926804,5,10000.0,2152.0,39.7156,8134.66153846154,52.2613412780609,126,1,23,23.0,0.0,0.0333333333333333,7.7
1923,1923,7.40445506048152,failed,3.73027523926804,2,5000.0,2491.03333333333,39.7156,8134.66153846154,35.2867759421877,97,1,12,12.0,0.359375,0.666666666666667,7.7
1924,1924,5.70298361464505,successful,3.73027523926804,361,2500.0,11889.0985915493,39.7156,8134.66153846154,42.025274798257,135,2,13,6.5,0.116666666666667,0.416666666666667,7.7
1925,1925,10.0,successful,3.73027523926804,1065,3000.0,8135.55405405405,39.7156,8134.66153846154,74.4779292363162,121,1,22,22.0,0.30625,0.7,7.7
1926,1926,10.0,successful,3.73027523926804,32,200.0,8135.55405405405,39.7156,8134.66153846154,-16.1585012174807,115,1,18,18.0,-0.85,0.833333333333333,7.7
1927,1927,1.08792011466163,failed,3.73027523926804,5,30000.0,3243.75,39.7156,8134.66153846154,24.9366564384395,119,1,21,21.0,0.0,0.0,7.7
1928,1928,7.08664371402648,failed,3.73027523926804,1,50000.0,9976.87341772152,30.0843,8134.66153846154,23.1268473600189,126,1,24,24.0,0.466666666666667,0.266666666666667,7.7
1929,1929,7.08664371402648,successful,3.73027523926804,8,300.0,9976.87341772152,30.0843,8134.66153846154,41.3457468984805,136,2,20,10.0,0.35,0.65,7.7
1930,1930,1.3401695840397,successful,3.73027523926804,29,500.0,11184.3650793651,30.0843,8134.66153846154,41.7068528878964,56,1,6,6.0,-0.4,0.4,7.7
1931,1931,1.3401695840397,failed,3.73027523926804,3,8200.0,11184.3650793651,30.0843,8134.66153846154,22.4636781220576,61,1,9,9.0,0.333333333333333,0.416666666666667,7.7
1932,1932,1.3401695840397,successful,3.73027523926804,24,500.0,11184.3650793651,30.0843,8134.66153846154,13.6095303198187,135,1,20,20.0,0.0,0.0,7.7
1933,1933,1.3401695840397,failed,3.73027523926804,5,25000.0,11184.3650793651,30.0843,8134.66153846154,0.0,130,1,23,23.0,0.7,0.8,7.7
1934,1934,1.3401695840397,failed,3.73027523926804,6,10000.0,11184.3650793651,30.0843,8134.66153846154,155.843977832787,120,2,17,8.5,0.0,0.0,7.7
1935,1935,1.06405539100702,failed,3.73027523926804,9,110000.0,2152.0,30.0843,8134.66153846154,-0.739645350468464,119,3,19,6.33333333333333,0.0,0.0,7.7
1936,1936,1.06405539100702,failed,3.73027523926804,27,40000.0,2152.0,30.0843,8134.66153846154,30.2570640592621,67,1,11,11.0,0.0,0.0,7.7
1937,1937,5.70298361464505,failed,3.73027523926804,4,150000.0,11889.0985915493,30.0843,8134.66153846154,28.4005316153794,123,1,19,19.0,0.04,0.27,7.7
1938,1938,5.70298361464505,successful,3.73027523926804,117,100.0,11889.0985915493,30.0843,8134.66153846154,0.0,65,1,9,9.0,0.0,0.0,7.7
1939,1939,10.0,failed,3.73027523926804,10,50000.0,8135.55405405405,30.0843,8134.66153846154,20.1395634481956,67,1,11,11.0,0.0,0.0,7.7
1940,1940,10.0,successful,3.73027523926804,418,1000.0,8135.55405405405,30.0843,8134.66153846154,16.9149081900096,126,1,19,19.0,-0.0892857142857143,0.142857142857143,7.7
1941,1941,1.02461417733412,failed,3.73027523926804,1,1000000.0,6509.09090909091,30.0843,8134.66153846154,25.7250776255384,133,1,22,22.0,0.0,0.0,7.7
1942,1942,1.08792011466163,failed,3.73027523926804,3,50000.0,3243.75,30.0843,8134.66153846154,0.0,84,3,12,4.0,0.284090909090909,0.263636363636364,7.7
1943,1943,7.08664371402648,successful,3.73027523926804,21,500.0,9976.87341772152,43.857825,8134.66153846154,0.0,130,1,20,20.0,0.4,0.4,7.7
1944,1944,1.3401695840397,failed,3.73027523926804,1,200000.0,11184.3650793651,43.857825,8134.66153846154,86.5233816355748,129,2,16,8.0,0.0,1.0,7.7
1945,1945,1.3401695840397,failed,3.73027523926804,1,1000.0,11184.3650793651,43.857825,8134.66153846154,66.3614131532068,114,2,19,9.5,0.0,0.0,7.7
1946,1946,1.06405539100702,failed,3.73027523926804,3,3600.0,2152.0,43.857825,8134.66153846154,26.7850386351605,132,1,25,25.0,0.0,0.0,7.7
1947,1947,1.06405539100702,canceled,3.73027523926804,0,12000.0,2152.0,43.857825,8134.66153846154,66.8506595137721,95,1,15,15.0,0.0366666666666667,0.446666666666667,7.7
1948,1948,1.06405539100702,successful,3.73027523926804,193,5500.0,2152.0,43.857825,8134.66153846154,49.1528779655219,122,1,19,19.0,0.359375,0.875,7.7
1949,1949,7.40445506048152,failed,3.73027523926804,0,2000.0,2491.03333333333,43.857825,8134.66153846154,21.7872141627364,97,1,21,21.0,0.139285714285714,0.432142857142857,7.7
1950,1950,7.40445506048152,failed,3.73027523926804,0,150.0,2491.03333333333,43.857825,8134.66153846154,139.519612670739,133,1,25,25.0,0.18,0.493333333333333,7.7
1951,1951,7.40445506048152,failed,3.73027523926804,30,20000.0,2491.03333333333,43.857825,8134.66153846154,25.1651001947489,136,1,20,20.0,-0.0666666666666667,0.366666666666667,7.7
1952,1952,10.0,successful,3.73027523926804,162,3000.0,8135.55405405405,43.857825,8134.66153846154,22.3852289465773,112,2,18,9.0,0.318181818181818,0.727272727272727,7.7
1953,1953,1.3034169746572,failed,3.73027523926804,2,500.0,11486.2162162162,43.857825,8134.66153846154,0.0,120,1,19,19.0,-0.107142857142857,0.380952380952381,7.7
1954,1954,1.02461417733412,failed,3.73027523926804,2,200.0,6509.09090909091,43.857825,8134.66153846154,0.456737868699264,124,2,21,10.5,0.0,0.0,7.7
1955,1955,1.08792011466163,failed,3.73027523926804,2,1000000.0,3243.75,43.857825,8134.66153846154,47.6510116199071,135,1,21,21.0,0.1,0.2,7.7
1956,1956,7.08664371402648,successful,3.73027523926804,24,400.0,9976.87341772152,33.085225,8134.66153846154,11.8179137983409,135,1,22,22.0,0.4,0.8,7.7
1957,1957,1.3401695840397,failed,3.73027523926804,23,23650.0,11184.3650793651,33.085225,8134.66153846154,78.519908000923,113,1,12,12.0,0.0,0.0,7.7
1958,1958,1.3401695840397,failed,3.73027523926804,19,1000.0,11184.3650793651,33.085225,8134.66153846154,9.61987341658582,135,1,22,22.0,0.4,0.8,7.7
1959,1959,2.10285504987634,successful,3.73027523926804,42,1500.0,2318.5,33.085225,8134.66153846154,0.0,65,1,10,10.0,0.0,0.0,7.7
1960,1960,2.10285504987634,successful,3.73027523926804,73,1500.0,2318.5,33.085225,8134.66153846154,39.6827793446848,55,1,9,9.0,-0.129166666666667,0.266666666666667,7.7
1961,1961,7.40445506048152,failed,3.73027523926804,15,8500.0,2491.03333333333,33.085225,8134.66153846154,23.8685269021238,108,1,13,13.0,0.0,0.0,7.7
1962,1962,7.40445506048152,failed,3.73027523926804,0,5000.0,2491.03333333333,33.085225,8134.66153846154,8.08302213607087,24,1,3,3.0,0.0,0.0,7.7
1963,1963,2.13355180061349,canceled,3.73027523926804,1,1000.0,5018.55319148936,33.085225,8134.66153846154,71.9015181287352,83,1,15,15.0,-0.15,0.4,7.7
1964,1964,5.70298361464505,successful,3.73027523926804,743,2000.0,11889.0985915493,33.085225,8134.66153846154,37.9246649467903,70,1,11,11.0,0.0,0.0,7.7
1965,1965,10.0,successful,3.73027523926804,227,3000.0,8135.55405405405,33.085225,8134.66153846154,11.0511241344138,56,1,8,8.0,0.0,0.0,7.7
1966,1966,10.0,successful,3.73027523926804,1273,4000.0,8135.55405405405,33.085225,8134.66153846154,0.0796792366187162,133,1,23,23.0,0.516666666666667,0.55,7.7
1967,1967,10.0,successful,3.73027523926804,95,3000.0,8135.55405405405,33.085225,8134.66153846154,19.0043288849795,73,1,11,11.0,0.0,0.0,7.7
1968,1968,1.3034169746572,failed,3.73027523926804,7,10000.0,11486.2162162162,33.085225,8134.66153846154,124.229825054949,51,1,8,8.0,0.0,0.0,7.7
1969,1969,1.3034169746572,successful,3.73027523926804,68,25000.0,11486.2162162162,33.085225,8134.66153846154,57.9030139742041,132,2,24,12.0,0.0,0.0,7.7
1970,1970,1.02461417733412,failed,3.73027523926804,0,40000.0,6509.09090909091,33.085225,8134.66153846154,30.1971414901819,123,2,23,11.5,0.0590909090909091,0.463636363636364,7.7
1971,1971,1.00911476167968,failed,3.73027523926804,2,2000.0,1500.0,33.085225,8134.66153846154,0.0,119,5,15,3.0,0.5,0.5,7.7
1972,1972,7.08664371402648,failed,3.73027523926804,2,40000.0,9976.87341772152,33.5783333333333,8134.66153846154,11.8684070737074,115,2,15,7.5,0.375,1.0,7.7
1973,1973,7.08664371402648,successful,3.73027523926804,433,35000.0,9976.87341772152,33.5783333333333,8134.66153846154,54.7647452739906,135,2,22,11.0,0.29,0.666666666666667,7.7
1974,1974,1.3401695840397,failed,3.73027523926804,0,1000.0,11184.3650793651,33.5783333333333,8134.66153846154,57.800036370872,111,1,21,21.0,-0.183333333333333,0.216666666666667,7.7
1975,1975,1.3401695840397,failed,3.73027523926804,0,75000.0,11184.3650793651,33.5783333333333,8134.66153846154,0.0,136,2,21,10.5,0.305833333333333,0.608333333333333,7.7
1976,1976,1.3401695840397,successful,3.73027523926804,13,300.0,11184.3650793651,33.5783333333333,8134.66153846154,0.0,135,2,20,10.0,0.0,0.0,7.7
1977,1977,1.3401695840397,failed,3.73027523926804,41,10000.0,11184.3650793651,33.5783333333333,8134.66153846154,23.6985105703064,135,1,18,18.0,0.0,0.0,7.7
1978,1978,1.3401695840397,successful,3.73027523926804,74,1500.0,11184.3650793651,33.5783333333333,8134.66153846154,13.7820799202053,129,1,20,20.0,0.5,1.0,7.7
